px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.000107,-0.038115,0.084703,0.990412,0.066016,0.12135,0.136979,-0.355472,-0.924595,0
0.000168,-0.038085,0.084398,0.990352,0.065812,0.121952,0.137458,-0.354901,-0.924744,0
0.000231,-0.038021,0.08413,0.989917,0.066104,0.125276,0.140664,-0.354785,-0.924306,0
0.000297,-0.037945,0.083896,0.989641,0.066547,0.12721,0.142626,-0.354566,-0.924089,0
0.000402,-0.038144,0.083688,0.99176,0.064629,0.110612,0.126384,-0.352383,-0.927283,0
0.000518,-0.038345,0.083597,0.995865,0.06256,0.065874,0.083674,-0.349233,-0.933293,0
0.000649,-0.038806,0.08344,0.997915,0.057702,0.028914,0.047089,-0.344554,-0.937585,0
0.000629,-0.038572,0.083339,0.996869,0.061343,0.049901,0.068182,-0.347149,-0.935328,0
0.000636,-0.038554,0.083228,0.996957,0.061382,0.048047,0.066446,-0.346915,-0.93554,0
0.00063,-0.038472,0.083108,0.996845,0.061645,0.049998,0.068371,-0.346957,-0.935386,0
0.000604,-0.038462,0.082999,0.99734,0.0606,0.040502,0.059052,-0.346058,-0.936353,0
0.000588,-0.038279,0.082854,0.996947,0.061209,0.048474,0.066749,-0.346046,-0.93584,0
0.000519,-0.038119,0.082746,0.996441,0.062999,0.056,0.074451,-0.346301,-0.935165,0
0.000441,-0.038875,0.082853,0.998282,0.058499,0.003154,0.022865,-0.339498,-0.940329,0
0.000272,-0.037348,0.082632,0.99733,0.05094,0.052325,0.066668,-0.342705,-0.937075,0
0.00024,-0.03676,0.082665,0.989772,0.06519,0.126891,0.141798,-0.352074,-0.925169,0
0.000211,-0.036639,0.082788,0.989858,0.06516,0.126233,0.141175,-0.352289,-0.925182,0
0.000327,-0.037095,0.082996,0.996022,0.061645,0.064339,0.081855,-0.347743,-0.93401,0
0.000309,-0.036871,0.083169,0.994717,0.06454,0.079833,0.097458,-0.349319,-0.931922,0
0.000208,-0.036598,0.083193,0.991902,0.064452,0.109439,0.125185,-0.350655,-0.9281,0
0.000152,-0.036312,0.083351,0.990584,0.065805,0.120056,0.135619,-0.351589,-0.926279,0
0.000149,-0.0364,0.083408,0.995879,0.054769,0.07228,0.086858,-0.346896,-0.933873,0
-0.000053,-0.037166,0.083806,0.997888,0.058665,0.027908,0.046411,-0.343166,-0.938128,0
0.000104,-0.037316,0.083961,0.997608,0.040395,-0.056087,-0.039509,-0.332548,-0.942259,0
-0.000067,-0.03635,0.084057,0.997242,0.058233,0.046009,0.063395,-0.346077,-0.936062,0
-0.000202,-0.035908,0.084312,0.996214,0.059576,0.063305,0.080205,-0.349078,-0.933655,0
-0.000175,-0.036401,0.084529,0.998316,0.054686,0.019353,0.037068,-0.344751,-0.937962,0
-0.000321,-0.0359,0.084676,0.997205,0.056717,0.048641,0.065431,-0.348548,-0.935004,0
-0.000525,-0.0357,0.08465,0.994067,0.058871,0.091458,0.10639,-0.351441,-0.930145,0
-0.000697,-0.035731,0.084568,0.994027,0.059196,0.091686,0.10671,-0.351068,-0.93025,0
-0.000815,-0.036203,0.084405,0.996933,0.060272,0.049928,0.067827,-0.347014,-0.935404,0
-0.001192,-0.035782,0.084029,0.991551,0.065437,0.112005,0.127938,-0.350732,-0.927695,0
-0.001472,-0.035762,0.083581,0.99121,0.066054,0.114628,0.130574,-0.34902,-0.927974,0
-0.001786,-0.035665,0.083055,0.990907,0.066364,0.117045,0.1329,-0.34692,-0.928431,0
-0.00208,-0.035434,0.08256,0.99183,0.06462,0.109988,0.125611,-0.344338,-0.930405,0
-0.002476,-0.034845,0.082039,0.989865,0.065411,0.126051,0.140954,-0.344348,-0.928201,0
-0.002813,-0.034873,0.081454,0.991664,0.063166,0.112302,0.127192,-0.340624,-0.931556,0
-0.003203,-0.034657,0.080746,0.991609,0.06255,0.113136,0.1277,-0.337681,-0.932558,0
-0.003627,-0.034522,0.080018,0.991258,0.062994,0.115924,0.130416,-0.334922,-0.933177,0
-0.004144,-0.034272,0.079221,0.989925,0.064641,0.125973,0.140394,-0.332759,-0.932503,0
-0.004468,-0.034947,0.07841,0.996699,0.059407,0.055331,0.071621,-0.322536,-0.943844,0
-0.004985,-0.034992,0.077597,0.995658,0.063107,0.068433,0.085149,-0.320313,-0.943477,0
-0.005631,-0.034364,0.076863,0.989209,0.067005,0.130289,0.145042,-0.322361,-0.935439,0
-0.006171,-0.034122,0.076225,0.989912,0.065576,0.125592,0.140054,-0.318938,-0.937371,0
-0.006681,-0.033699,0.075813,0.990074,0.063869,0.125198,0.139089,-0.317228,-0.938094,0
-0.007165,-0.033358,0.07553,0.991852,0.061965,0.111312,0.125263,-0.315075,-0.940764,0
-0.007672,-0.033027,0.075288,0.993452,0.060223,0.097092,0.111158,-0.313037,-0.943213,0
-0.008245,-0.032076,0.074894,0.994072,0.044799,0.099068,0.10808,-0.307926,-0.945251,0
-0.00878,-0.032008,0.074678,0.995877,0.043292,0.079719,0.089163,-0.305237,-0.948093,0
-0.009451,-0.031675,0.074296,0.994474,0.04641,0.094172,0.10389,-0.305671,-0.946452,0
-0.010033,-0.032328,0.073644,0.998227,0.043771,0.040347,0.051508,-0.295307,-0.954013,0
-0.010893,-0.031866,0.072832,0.995328,0.047792,0.083892,0.094333,-0.296227,-0.950448,0
-0.011636,-0.032284,0.0719,0.996485,0.04752,0.068984,0.079812,-0.28853,-0.954138,0
-0.01248,-0.032465,0.071084,0.995911,0.050757,0.074728,0.086133,-0.284146,-0.954904,0
-0.013341,-0.032415,0.070272,0.996243,0.050251,0.070533,0.081776,-0.277745,-0.957168,0
-0.014187,-0.032344,0.069796,0.995917,0.050696,0.074699,0.08579,-0.273825,-0.957946,0
-0.014982,-0.032225,0.069595,0.995305,0.053131,0.080905,0.092372,-0.271691,-0.957941,0
-0.015875,-0.032161,0.0698,0.992108,0.062572,0.108657,0.121782,-0.274595,-0.953817,0
-0.016649,-0.032072,0.070055,0.991338,0.064136,0.114612,0.127937,-0.274295,-0.953097,0
-0.017225,-0.032713,0.070328,0.998577,0.05151,0.013843,0.026883,-0.261909,-0.964718,0
-0.018004,-0.032944,0.07056,0.998755,0.049703,-0.004362,0.00863,-0.258195,-0.966054,0
-0.019048,-0.032277,0.070629,0.99539,0.057037,0.077101,0.089533,-0.264503,-0.96022,0
-0.019999,-0.032925,0.070651,0.997688,0.053725,0.041619,0.054097,-0.257148,-0.964857,0
-0.021022,-0.032994,0.070632,0.993361,0.068531,0.092395,0.107264,-0.261575,-0.959204,0
-0.021929,-0.033501,0.070392,0.994912,0.070974,0.071501,0.087391,-0.254872,-0.963018,0
-0.022985,-0.033242,0.070152,0.99011,0.082629,0.113379,0.131092,-0.25704,-0.957468,0
-0.024005,-0.033153,0.069632,0.992829,0.069578,0.097213,0.111553,-0.246837,-0.962615,0
-0.025032,-0.034033,0.069396,0.995082,0.070419,0.069657,0.0846,-0.238485,-0.967454,0
-0.026048,-0.034216,0.069083,0.994238,0.073222,0.078288,0.093445,-0.23419,-0.96769,0
-0.027028,-0.034427,0.068785,0.990921,0.087656,0.101945,0.119887,-0.232869,-0.96509,0
-0.027982,-0.034692,0.068476,0.99167,0.09001,0.092133,0.110404,-0.225574,-0.96795,0
-0.029038,-0.034382,0.067835,0.989437,0.091603,0.11235,0.130048,-0.218525,-0.967127,0
-0.029942,-0.034234,0.067464,0.989409,0.09269,0.111708,0.129226,-0.21195,-0.968699,0
-0.030759,-0.03426,0.066616,0.992895,0.086915,0.081277,0.096913,-0.19429,-0.976145,0
-0.031552,-0.033715,0.066514,0.988663,0.092391,0.118363,0.134551,-0.195237,-0.971483,0
-0.032438,-0.033153,0.06566,0.983604,0.096056,0.152633,0.168031,-0.180772,-0.969065,0
-0.032976,-0.033113,0.065506,0.984828,0.097578,0.143499,0.158414,-0.16795,-0.972984,0
-0.033513,-0.032537,0.065593,0.979553,0.100971,0.174016,0.188943,-0.164535,-0.968106,0
-0.033899,-0.031566,0.06577,0.972384,0.103414,0.209226,0.223644,-0.156541,-0.962018,0
-0.033942,-0.031382,0.066072,0.97016,0.106075,0.21803,0.232005,-0.14487,-0.961866,0
-0.034009,-0.030547,0.066962,0.96651,0.105489,0.233947,0.246996,-0.134933,-0.959576,0
-0.033873,-0.030126,0.068664,0.96388,0.106764,0.244003,0.25678,-0.129287,-0.957783,0
-0.033608,-0.028907,0.070379,0.961104,0.104139,0.255801,0.267554,-0.121306,-0.955876,0
-0.033288,-0.027186,0.072791,0.949965,0.104606,0.294318,0.305727,-0.118311,-0.94474,0
-0.032691,-0.025978,0.075591,0.953041,0.099435,0.28605,0.296409,-0.112662,-0.948393,0
-0.032143,-0.023872,0.079301,0.948959,0.093687,0.301165,0.31069,-0.113256,-0.94374,0
-0.031376,-0.021727,0.083813,0.94585,0.088111,0.312417,0.321299,-0.117131,-0.939706,0
-0.030499,-0.019627,0.089437,0.94589,0.081775,0.314014,0.322367,-0.126393,-0.938139,0
-0.029408,-0.018164,0.096029,0.953897,0.07382,0.290915,0.298656,-0.137376,-0.944422,0
-0.028268,-0.016096,0.103907,0.950974,0.071387,0.300918,0.308671,-0.15857,-0.937858,0
-0.026884,-0.014543,0.113215,0.950515,0.069989,0.302692,0.310565,-0.187814,-0.931813,0
-0.02514,-0.013265,0.123264,0.962193,0.060534,0.265556,0.272367,-0.217331,-0.937328,0
-0.023084,-0.012091,0.1346,0.960714,0.063329,0.270219,0.277314,-0.258436,-0.925369,0
-0.020475,-0.011395,0.147083,0.958989,0.068602,0.275017,0.282579,-0.307126,-0.908748,0
-0.017181,-0.011179,0.160175,0.966284,0.069415,0.247944,0.256131,-0.357487,-0.898109,0
-0.013063,-0.011273,0.173885,0.9712,0.073821,0.226542,0.236521,-0.413568,-0.879215,0
-0.008066,-0.011625,0.187655,0.983124,0.070736,0.168713,0.182053,-0.469056,-0.864201,0
-0.002404,-0.011507,0.201266,0.983635,0.075441,0.163615,0.178577,-0.528721,-0.829798,0
0.00405,-0.012196,0.21447,0.991504,0.074095,0.106908,0.130036,-0.584747,-0.800725,0
0.010856,-0.012075,0.226487,0.993392,0.073426,0.088207,0.114768,-0.638447,-0.761061,0
0.017853,-0.011982,0.23719,0.998653,0.051569,-0.005769,0.03083,-0.679087,-0.73341,0
0.025061,-0.010562,0.246432,0.995772,0.063148,0.066717,0.091649,-0.732434,-0.674642,0
0.03172,-0.010372,0.25416,0.999,0.040201,-0.019566,0.018036,-0.762785,-0.646401,0
0.037813,-0.011128,0.260251,0.996669,0.036194,-0.073084,-0.016073,-0.791377,-0.611117,0
0.042773,-0.010069,0.264241,0.998307,0.030166,-0.049732,-0.00391,-0.818268,-0.574824,0
