px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.019392,-0.025316,0.11536,0.995852,0.080382,0.042626,0.07506,-0.461022,-0.884209,0
0.019399,-0.02543,0.114726,0.9974,0.071971,0.003528,0.036005,-0.455368,-0.889575,0
0.019041,-0.024319,0.113943,0.994147,0.079659,0.072982,0.101624,-0.460232,-0.881963,0
0.018878,-0.024986,0.113247,0.996944,0.0738,0.025625,0.056336,-0.451888,-0.890294,0
0.018683,-0.024161,0.112414,0.99564,0.074401,0.056266,0.083988,-0.452547,-0.887776,0
0.018454,-0.025054,0.112184,0.997799,0.065798,-0.008275,0.021865,-0.444215,-0.895653,0
0.018258,-0.024913,0.111452,0.997861,0.065209,-0.004619,0.024684,-0.441269,-0.897035,0
0.018241,-0.024367,0.111133,0.997068,0.06972,0.031523,0.059464,-0.446791,-0.89266,0
0.018219,-0.025353,0.110982,0.997558,0.068952,-0.011157,0.020519,-0.441972,-0.896794,0
0.018135,-0.025433,0.110659,0.997539,0.069094,-0.0119,0.019886,-0.44159,-0.896996,0
0.017952,-0.025118,0.110006,0.997494,0.070462,0.006389,0.036923,-0.441401,-0.89655,0
0.017665,-0.024947,0.109644,0.995609,0.07397,0.057366,0.084439,-0.445172,-0.891455,0
0.017469,-0.023565,0.108702,0.990626,0.075935,0.113552,0.135639,-0.448274,-0.883545,0
0.017434,-0.025331,0.108288,0.997435,0.061146,-0.037204,-0.00729,-0.430309,-0.902652,0
0.017213,-0.025232,0.107585,0.997634,0.061155,-0.031396,-0.002176,-0.428399,-0.903587,0
0.017022,-0.02458,0.106756,0.998115,0.060818,-0.008236,0.018628,-0.428072,-0.903553,0
0.016586,-0.023077,0.106227,0.992968,0.066244,0.098112,0.117269,-0.437029,-0.89177,0
0.016472,-0.024071,0.105936,0.996047,0.065921,0.059532,0.082263,-0.431821,-0.8982,0
0.016364,-0.023571,0.105558,0.991571,0.074358,0.106105,0.128034,-0.436783,-0.890409,0
0.01619,-0.022618,0.105111,0.987195,0.074674,0.140957,0.159463,-0.439276,-0.884086,0
0.016105,-0.023016,0.104823,0.989519,0.074142,0.123919,0.143927,-0.436634,-0.888052,0
0.015955,-0.024344,0.104604,0.997703,0.061379,0.028648,0.052066,-0.424411,-0.903972,0
0.015791,-0.023237,0.104111,0.991055,0.073302,0.111521,0.132364,-0.433297,-0.891478,0
0.015777,-0.023925,0.103736,0.996239,0.07071,0.050074,0.0756,-0.427048,-0.901063,0
0.015535,-0.025149,0.103341,0.997844,0.061463,-0.023012,0.004568,-0.414823,-0.909891,0
0.015368,-0.024795,0.102709,0.997955,0.063896,-0.001992,0.024841,-0.416308,-0.908884,0
0.015131,-0.024078,0.102137,0.995747,0.072819,0.056434,0.082079,-0.423027,-0.902392,0
0.014848,-0.024166,0.101593,0.995657,0.073439,0.057209,0.082912,-0.420124,-0.903671,0
0.014417,-0.023234,0.101096,0.987018,0.078715,0.139996,0.160264,-0.425673,-0.890571,0
0.014229,-0.023788,0.100533,0.988321,0.08044,0.129424,0.151406,-0.422222,-0.893759,0
0.014172,-0.024434,0.100047,0.994835,0.077317,0.065765,0.092109,-0.415424,-0.904952,0
0.013936,-0.025269,0.099541,0.996917,0.074331,0.025128,0.053438,-0.408696,-0.911105,0
0.013681,-0.025577,0.098841,0.996934,0.075786,0.019468,0.048691,-0.406097,-0.912532,0
0.01311,-0.024652,0.097781,0.991011,0.082614,0.105222,0.130001,-0.40913,-0.903168,0
0.012859,-0.025704,0.09692,0.996573,0.079058,0.024327,0.053887,-0.397387,-0.916068,0
0.012448,-0.025027,0.096045,0.994663,0.082154,0.062419,0.090206,-0.39877,-0.912604,0
0.011895,-0.024519,0.095207,0.988775,0.086113,0.122097,0.146548,-0.399814,-0.904805,0
0.011531,-0.024514,0.094417,0.988238,0.08734,0.12553,0.150079,-0.396285,-0.905778,0
0.011207,-0.02434,0.093876,0.987763,0.087854,0.128863,0.153273,-0.394091,-0.906201,0
0.011076,-0.024401,0.09331,0.991664,0.082477,0.098998,0.123483,-0.388802,-0.913009,0
0.010766,-0.024564,0.093096,0.993651,0.086555,0.071879,0.099893,-0.384756,-0.917597,0
0.010285,-0.023812,0.092681,0.988534,0.088035,0.122678,0.147407,-0.386517,-0.910426,0
0.009933,-0.023427,0.092262,0.988229,0.087705,0.125342,0.149645,-0.384081,-0.911092,0
0.009589,-0.022947,0.091769,0.988847,0.086066,0.121551,0.145385,-0.380635,-0.913225,0
0.009284,-0.022856,0.091247,0.991619,0.083014,0.098996,0.123124,-0.375074,-0.918782,0
0.008773,-0.021982,0.090608,0.989551,0.083609,0.117471,0.140414,-0.373634,-0.916887,0
0.008313,-0.02145,0.089883,0.990116,0.081392,0.114214,0.1364,-0.369382,-0.919213,0
0.007831,-0.021225,0.089012,0.99234,0.077679,0.096061,0.11787,-0.362494,-0.924503,0
0.007194,-0.020671,0.08806,0.991173,0.07827,0.107004,0.128135,-0.358444,-0.924716,0
0.006602,-0.020812,0.087002,0.993467,0.075993,0.085134,0.106528,-0.350066,-0.930648,0
0.00584,-0.020444,0.086008,0.991498,0.078465,0.103806,0.124773,-0.346874,-0.929575,0
0.005115,-0.020422,0.08484,0.992034,0.077925,0.098973,0.119755,-0.339698,-0.93288,0
0.004317,-0.020504,0.083898,0.992517,0.078318,0.093685,0.114663,-0.333949,-0.935591,0
0.003451,-0.020117,0.08312,0.99219,0.076902,0.09821,0.118295,-0.330369,-0.936409,0
0.002816,-0.021288,0.082445,0.994039,0.080139,0.073918,0.096101,-0.323891,-0.941201,0
0.001843,-0.021104,0.081735,0.992973,0.082211,0.085126,0.107262,-0.321301,-0.940883,0
0.001,-0.021694,0.08091,0.99495,0.082882,0.056616,0.079927,-0.313019,-0.946378,0
-0.000066,-0.021811,0.08,0.992894,0.086956,0.081242,0.104581,-0.311844,-0.94436,0
-0.001083,-0.02287,0.078803,0.996726,0.079229,0.016095,0.039,-0.296809,-0.95414,0
-0.002238,-0.023062,0.077496,0.996836,0.079486,-0.000719,0.022323,-0.288608,-0.957187,0
-0.003474,-0.023426,0.075946,0.996512,0.082655,0.011474,0.034555,-0.283563,-0.958331,0
-0.004793,-0.023648,0.074175,0.996377,0.084551,0.009156,0.032244,-0.275942,-0.960633,0
-0.006254,-0.023303,0.072201,0.995495,0.087824,0.035738,0.058414,-0.271162,-0.96076,0
-0.007547,-0.024008,0.070042,0.996189,0.085676,-0.016348,0.005994,-0.254244,-0.967122,0
-0.00926,-0.023387,0.06773,0.995726,0.087824,0.028571,0.049868,-0.250893,-0.96673,0
-0.010762,-0.023028,0.065216,0.994329,0.091645,0.053959,0.074954,-0.243948,-0.966887,0
-0.012288,-0.023461,0.062945,0.995898,0.089032,0.016139,0.036094,-0.227339,-0.973147,0
-0.014048,-0.023398,0.06111,0.994246,0.09561,0.048309,0.068569,-0.221552,-0.972735,0
-0.01567,-0.023761,0.059712,0.994029,0.094068,0.055295,0.074418,-0.213831,-0.974032,0
