px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.078221,0.001741,0.104104,0.914484,-0.083365,-0.395942,-0.391111,-0.432887,-0.812183,0
0.0782,0.001943,0.103979,0.914571,-0.083136,-0.395788,-0.391535,-0.427124,-0.815025,0
0.078072,0.002003,0.104099,0.913826,-0.086955,-0.396688,-0.390645,-0.455182,-0.800129,0
0.078199,0.002079,0.103709,0.914701,-0.083353,-0.395442,-0.391552,-0.425019,-0.816116,0
0.078221,0.002059,0.103609,0.914571,-0.083125,-0.39579,-0.392034,-0.422611,-0.817135,0
0.078211,0.002044,0.103582,0.914409,-0.083879,-0.396005,-0.392228,-0.425436,-0.815574,0
0.078253,0.001987,0.103576,0.914073,-0.08398,-0.396759,-0.393005,-0.424868,-0.815496,0
0.078305,0.001904,0.103561,0.913651,-0.08326,-0.39788,-0.394164,-0.420751,-0.81707,0
0.078385,0.001833,0.10357,0.913154,-0.083387,-0.398993,-0.39531,-0.419853,-0.816978,0
0.078436,0.001801,0.103556,0.912783,-0.083489,-0.399821,-0.396285,-0.4181,-0.817405,0
0.078468,0.001778,0.103513,0.912527,-0.083878,-0.400323,-0.396953,-0.417565,-0.817354,0
0.078135,0.001286,0.102944,0.91434,-0.059117,-0.400609,-0.394601,-0.352267,-0.848645,0
0.078365,0.001745,0.103425,0.912565,-0.086895,-0.399593,-0.395554,-0.43547,-0.808643,0
0.078395,0.002137,0.103077,0.914357,-0.094459,-0.393737,-0.393288,-0.438478,-0.808123,0
0.078355,0.002041,0.102786,0.914548,-0.093274,-0.393577,-0.392963,-0.435426,-0.809929,0
0.078212,0.002022,0.102482,0.915336,-0.095817,-0.391125,-0.390453,-0.448803,-0.803817,0
0.078017,0.000922,0.101638,0.915115,-0.060712,-0.398596,-0.393365,-0.351379,-0.849586,0
0.077899,0.00084,0.101458,0.915246,-0.061319,-0.398202,-0.392499,-0.358776,-0.846891,0
0.077984,0.001489,0.101742,0.915783,-0.094155,-0.390483,-0.388509,-0.454473,-0.80157,0
0.078005,0.001092,0.10152,0.915542,-0.091153,-0.391758,-0.38935,-0.445283,-0.806306,0
0.077987,0.000776,0.101358,0.915464,-0.090391,-0.392117,-0.388968,-0.448443,-0.804738,0
0.077831,0.00044,0.101286,0.91542,-0.090979,-0.392082,-0.386785,-0.468369,-0.794373,0
0.077781,0.000178,0.101031,0.915369,-0.089505,-0.39254,-0.386626,-0.467443,-0.794995,0
0.077642,-0.000445,0.100487,0.915833,-0.075082,-0.394477,-0.384949,-0.44377,-0.809248,0
0.077786,-0.000655,0.099957,0.915389,-0.068781,-0.396651,-0.3891,-0.403912,-0.827923,0
0.077629,-0.000871,0.099652,0.915764,-0.067034,-0.396085,-0.388133,-0.401881,-0.829364,0
0.077402,-0.001047,0.099517,0.916315,-0.070875,-0.394137,-0.383328,-0.440023,-0.812059,0
0.077381,-0.001704,0.098803,0.916732,-0.048494,-0.396549,-0.385628,-0.366738,-0.846637,0
0.077438,-0.001418,0.098809,0.917141,-0.064675,-0.393281,-0.382797,-0.417724,-0.823998,0
0.077485,-0.001195,0.09886,0.917725,-0.077547,-0.389572,-0.379865,-0.458036,-0.803683,0
0.077621,-0.00133,0.098697,0.918075,-0.076135,-0.389027,-0.378677,-0.458658,-0.803888,0
0.077628,-0.001334,0.09866,0.91843,-0.075517,-0.388308,-0.378065,-0.45644,-0.805437,0
0.077788,-0.001338,0.098591,0.918824,-0.075018,-0.387472,-0.376764,-0.459064,-0.804555,0
0.077595,-0.002286,0.098185,0.918757,-0.042002,-0.392583,-0.378015,-0.38061,-0.843943,0
0.077921,-0.001984,0.098131,0.919514,-0.052404,-0.389548,-0.377461,-0.394135,-0.837963,0
0.078011,-0.001856,0.098077,0.920306,-0.058519,-0.386797,-0.374403,-0.418363,-0.827523,0
0.077963,-0.002264,0.097586,0.921594,-0.048744,-0.385083,-0.371413,-0.398971,-0.838376,0
0.077881,-0.002307,0.097037,0.923215,-0.049549,-0.381075,-0.366726,-0.409919,-0.835152,0
