px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.026579,0.024776,0.128394,0.985392,-0.014524,0.169683,0.13942,-0.503394,-0.852735,0
0.026577,0.024594,0.128526,0.986543,-0.016323,0.162685,0.132408,-0.503977,-0.853508,0
0.026676,0.024151,0.128721,0.991997,-0.022587,0.124224,0.0963,-0.500964,-0.860094,0
0.026864,0.023903,0.128948,0.991682,-0.022525,0.126728,0.098319,-0.502863,-0.858756,0
0.026996,0.023566,0.129523,0.991587,-0.022336,0.127499,0.09879,-0.505875,-0.856931,0
0.027074,0.023143,0.130406,0.990726,-0.020408,0.134333,0.105217,-0.510327,-0.85352,0
0.027174,0.022247,0.131198,0.993916,-0.023573,0.107588,0.08056,-0.510513,-0.856088,0
0.027446,0.021959,0.132018,0.99174,-0.020423,0.12663,0.097982,-0.516487,-0.850671,0
0.027604,0.021363,0.132652,0.992211,-0.019186,0.123085,0.095344,-0.51894,-0.849477,0
0.027826,0.020809,0.133395,0.992059,-0.016984,0.124623,0.097446,-0.522668,-0.846949,0
0.028117,0.021118,0.134004,0.988709,-0.01735,0.148842,0.117216,-0.529258,-0.840325,0
0.028336,0.021391,0.134273,0.99039,-0.022791,0.136412,0.103751,-0.529766,-0.841774,0
0.028476,0.022215,0.134706,0.989897,-0.028157,0.138967,0.102841,-0.532141,-0.840387,0
0.028496,0.022292,0.135005,0.995449,-0.036718,0.087935,0.055437,-0.527422,-0.847793,0
0.028824,0.024422,0.134838,0.987645,-0.035271,0.152687,0.110462,-0.534421,-0.837969,0
0.028877,0.025012,0.134956,0.988574,-0.040605,0.145163,0.101288,-0.534269,-0.839224,0
0.028864,0.025582,0.13491,0.987849,-0.043742,0.149132,0.10297,-0.534525,-0.838857,0
0.028854,0.02581,0.134879,0.983888,-0.042715,0.173609,0.123849,-0.537483,-0.83413,0
0.028691,0.025057,0.134631,0.990533,-0.050887,0.127497,0.081306,-0.530862,-0.843549,0
0.02833,0.023601,0.134581,0.994348,-0.048388,0.094497,0.054973,-0.526799,-0.84821,0
0.028085,0.022705,0.13426,0.994434,-0.043419,0.096003,0.059045,-0.525004,-0.849049,0
0.027946,0.022402,0.133789,0.992161,-0.038461,0.118903,0.081163,-0.525166,-0.847121,0
0.027839,0.021932,0.133425,0.989611,-0.030608,0.140477,0.103543,-0.526157,-0.84406,0
0.027701,0.02141,0.13313,0.989771,-0.028224,0.139842,0.104431,-0.52448,-0.844994,0
0.027587,0.020901,0.132896,0.993143,-0.028922,0.113273,0.081823,-0.520072,-0.850194,0
0.027475,0.020408,0.132982,0.993549,-0.02769,0.10997,0.079608,-0.520321,-0.850252,0
0.02747,0.020432,0.132926,0.993826,-0.028328,0.107273,0.077027,-0.519729,-0.850852,0
0.027463,0.0206,0.132823,0.994778,-0.031155,0.097188,0.067081,-0.518086,-0.852694,0
0.027429,0.020669,0.13268,0.995112,-0.031934,0.093447,0.063584,-0.516833,-0.853722,0
0.027467,0.021345,0.132224,0.992337,-0.031557,0.119467,0.086036,-0.517499,-0.851347,0
0.027366,0.021253,0.131708,0.992784,-0.031705,0.115649,0.083024,-0.514157,-0.853668,0
0.027132,0.021142,0.131566,0.992976,-0.031195,0.114132,0.082136,-0.512583,-0.8547,0
0.026913,0.02105,0.131212,0.991245,-0.026984,0.129248,0.097343,-0.512003,-0.85345,0
0.026653,0.020195,0.130786,0.99636,-0.034226,0.078071,0.050311,-0.503228,-0.862688,0
0.026436,0.0197,0.130323,0.996463,-0.031433,0.077932,0.051806,-0.500408,-0.864239,0
0.026302,0.019256,0.129793,0.994786,-0.023607,0.099217,0.074174,-0.500224,-0.862713,0
0.026068,0.018651,0.129306,0.995236,-0.020941,0.095225,0.072282,-0.496987,-0.864742,0
0.025832,0.017767,0.128716,0.997147,-0.018261,0.073242,0.054878,-0.490859,-0.869509,0
0.025578,0.017318,0.128164,0.995424,-0.013145,0.09465,0.076051,-0.490752,-0.867974,0
0.025289,0.016206,0.127635,0.997255,-0.009853,0.073387,0.05939,-0.485455,-0.872242,0
0.025052,0.016327,0.126717,0.995934,-0.005684,0.089905,0.076016,-0.482521,-0.872579,0
0.024839,0.015994,0.125963,0.994437,-0.00045,0.105329,0.092148,-0.480669,-0.872047,0
0.024633,0.015795,0.125158,0.995689,-0.001469,0.09274,0.080883,-0.475619,-0.875925,0
0.024436,0.015504,0.124729,0.997312,-0.002312,0.073231,0.063486,-0.471668,-0.879488,0
0.024284,0.015418,0.124212,0.999639,-0.012756,0.023633,0.015035,-0.463364,-0.886041,0
0.02426,0.015777,0.1239,0.999877,-0.015635,-0.000899,-0.008002,-0.460728,-0.887505,0
0.024176,0.016748,0.123547,0.99929,-0.017712,0.033246,0.021284,-0.462722,-0.886248,0
0.024277,0.017928,0.123205,0.998196,-0.020962,0.056267,0.040102,-0.464716,-0.884551,0
0.024395,0.018886,0.123123,0.994458,-0.014507,0.104132,0.085044,-0.471353,-0.877835,0
0.024425,0.019549,0.12301,0.995691,-0.020888,0.090345,0.069971,-0.470093,-0.879839,0
0.024497,0.019983,0.122933,0.995735,-0.023309,0.089263,0.06784,-0.470708,-0.879677,0
0.024512,0.020393,0.122749,0.996104,-0.025899,0.084295,0.062259,-0.470428,-0.880239,0
0.024533,0.020819,0.122535,0.995821,-0.027495,0.087093,0.063954,-0.470844,-0.879895,0
0.024567,0.021016,0.122216,0.997283,-0.033276,0.065728,0.04256,-0.468004,-0.882701,0
0.024532,0.021288,0.121922,0.99685,-0.033759,0.071771,0.047635,-0.46869,-0.882077,0
0.024484,0.021575,0.121527,0.996881,-0.035354,0.070552,0.045916,-0.467271,-0.882921,0
0.024436,0.021986,0.121223,0.996275,-0.036545,0.078107,0.051979,-0.468218,-0.882083,0
0.024433,0.022415,0.120929,0.996103,-0.038879,0.079171,0.051855,-0.467962,-0.882226,0
0.024441,0.02272,0.120709,0.995924,-0.040373,0.080656,0.052466,-0.468069,-0.882133,0
