px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.058379,-0.035578,0.106658,0.888489,0.043307,-0.456849,-0.428992,-0.27512,-0.860392,0
0.058304,-0.03561,0.106683,0.888307,0.043406,-0.457194,-0.42934,-0.274909,-0.860286,0
0.058216,-0.035618,0.106682,0.88815,0.043401,-0.457499,-0.429592,-0.275168,-0.860078,0
0.058118,-0.035623,0.106645,0.888105,0.042853,-0.457638,-0.429515,-0.277143,-0.859482,0
0.058007,-0.035628,0.106558,0.888243,0.043153,-0.457342,-0.429287,-0.276403,-0.859834,0
0.057856,-0.035606,0.106409,0.888558,0.043307,-0.456715,-0.428543,-0.276997,-0.860014,0
0.057798,-0.035561,0.106002,0.89001,0.049882,-0.453204,-0.429086,-0.244462,-0.869554,0
0.05757,-0.035384,0.10564,0.891053,0.049269,-0.451217,-0.426975,-0.246299,-0.870074,0
0.057328,-0.035125,0.105236,0.892416,0.047774,-0.448677,-0.424574,-0.2477,-0.870851,0
0.056864,-0.034816,0.105079,0.892937,0.033565,-0.448929,-0.415818,-0.320632,-0.851052,0
0.056876,-0.034873,0.104636,0.893367,0.045394,-0.447028,-0.420146,-0.268296,-0.866888,0
0.056845,-0.034666,0.104237,0.894812,0.050284,-0.443602,-0.420563,-0.23845,-0.875368,0
0.056674,-0.034321,0.10405,0.895257,0.047229,-0.443039,-0.41905,-0.248557,-0.873279,0
0.056559,-0.034291,0.1039,0.895505,0.046433,-0.442623,-0.416971,-0.260147,-0.870895,0
0.056345,-0.033773,0.103853,0.895679,0.037518,-0.443115,-0.414506,-0.290476,-0.862444,0
0.056333,-0.033816,0.103746,0.895975,0.041395,-0.442171,-0.414783,-0.277777,-0.866484,0
0.056235,-0.033545,0.103556,0.896701,0.041906,-0.44065,-0.413962,-0.27309,-0.868364,0
0.056242,-0.033404,0.103571,0.896534,0.040452,-0.441124,-0.413974,-0.277883,-0.866837,0
0.056195,-0.033208,0.103498,0.896786,0.040333,-0.440621,-0.41375,-0.27645,-0.867402,0
0.056153,-0.033053,0.10344,0.896946,0.040892,-0.440246,-0.413819,-0.272999,-0.868462,0
0.05608,-0.032957,0.103375,0.896961,0.043695,-0.439945,-0.414382,-0.263771,-0.871041,0
0.056049,-0.032679,0.103275,0.897332,0.039979,-0.439543,-0.413645,-0.271146,-0.869124,0
0.055981,-0.032559,0.103157,0.897464,0.038555,-0.4394,-0.413233,-0.274901,-0.86814,0
0.055898,-0.032559,0.103005,0.897641,0.038498,-0.439042,-0.412735,-0.275932,-0.86805,0
0.055802,-0.032584,0.10283,0.897819,0.038547,-0.438674,-0.412233,-0.276766,-0.868023,0
0.05566,-0.032631,0.102585,0.898434,0.038,-0.437461,-0.410655,-0.280072,-0.867711,0
0.055539,-0.032744,0.1023,0.8986,0.038348,-0.43709,-0.409867,-0.282203,-0.867393,0
0.055397,-0.032964,0.102027,0.89781,0.039669,-0.438592,-0.410006,-0.288179,-0.86536,0
0.055253,-0.033104,0.101613,0.898788,0.042257,-0.436342,-0.408888,-0.278125,-0.86917,0
0.055068,-0.032988,0.101325,0.899319,0.040009,-0.435459,-0.40754,-0.28436,-0.867785,0
0.054959,-0.033303,0.100748,0.900038,0.045584,-0.433422,-0.406177,-0.272733,-0.872145,0
0.054775,-0.033357,0.100275,0.900758,0.047443,-0.431722,-0.405128,-0.266497,-0.874557,0
0.054473,-0.033164,0.09989,0.901417,0.046843,-0.43041,-0.403968,-0.266619,-0.875057,0
0.054188,-0.032999,0.099522,0.901817,0.04393,-0.42988,-0.402205,-0.27837,-0.872205,0
0.053962,-0.0329,0.09913,0.902436,0.043893,-0.428582,-0.401148,-0.277212,-0.87306,0
0.053713,-0.032716,0.098722,0.90322,0.043487,-0.426969,-0.399867,-0.276079,-0.874006,0
0.053463,-0.032574,0.09833,0.903906,0.042698,-0.425596,-0.3983,-0.278686,-0.873894,0
0.053242,-0.032543,0.097986,0.90445,0.042303,-0.424478,-0.396696,-0.282481,-0.873405,0
0.053058,-0.032367,0.09777,0.904985,0.039448,-0.423611,-0.394505,-0.294947,-0.870271,0
0.052823,-0.032159,0.097537,0.905324,0.038709,-0.422955,-0.394213,-0.294035,-0.870712,0
0.052677,-0.032032,0.097412,0.905472,0.038472,-0.42266,-0.393746,-0.295498,-0.870428,0
0.052621,-0.032072,0.097309,0.905554,0.042111,-0.422135,-0.394479,-0.282486,-0.874407,0
0.052555,-0.031821,0.097408,0.905563,0.039035,-0.422412,-0.393787,-0.292951,-0.87127,0
0.052552,-0.031809,0.097457,0.905652,0.042705,-0.421865,-0.395785,-0.27185,-0.877184,0
0.052493,-0.03156,0.097681,0.905488,0.041103,-0.422377,-0.396638,-0.271937,-0.876772,0
0.052418,-0.03134,0.097992,0.905181,0.040413,-0.4231,-0.398226,-0.267248,-0.877493,0
0.052405,-0.0312,0.098364,0.90472,0.039317,-0.424188,-0.399615,-0.266699,-0.877029,0
0.05233,-0.031013,0.098773,0.904161,0.035768,-0.425693,-0.400127,-0.27815,-0.87323,0
0.052303,-0.031042,0.09914,0.903743,0.036079,-0.426552,-0.401517,-0.274067,-0.873883,0
0.052322,-0.031221,0.099457,0.903457,0.038914,-0.426908,-0.403307,-0.260359,-0.877244,0
0.052286,-0.031394,0.099813,0.902895,0.039409,-0.428051,-0.404625,-0.258256,-0.877259,0
0.052232,-0.0316,0.10017,0.902387,0.038224,-0.429228,-0.405402,-0.26241,-0.875666,0
0.052177,-0.031944,0.100488,0.901908,0.03868,-0.430192,-0.406221,-0.262512,-0.875256,0
0.05209,-0.032377,0.100758,0.901504,0.040008,-0.430918,-0.407102,-0.259427,-0.875766,0
0.051982,-0.032811,0.101005,0.901024,0.040317,-0.431891,-0.407741,-0.260984,-0.875005,0
0.051821,-0.033142,0.101247,0.900462,0.038493,-0.433228,-0.407688,-0.272306,-0.871573,0
0.05168,-0.033623,0.101432,0.900003,0.038653,-0.434166,-0.407871,-0.276631,-0.870124,0
0.051505,-0.034069,0.101555,0.899722,0.040025,-0.434625,-0.408235,-0.275134,-0.870428,0
0.051291,-0.034457,0.10162,0.89951,0.041165,-0.434957,-0.408281,-0.2752,-0.870386,0
0.051048,-0.034794,0.10165,0.899421,0.041381,-0.43512,-0.408111,-0.276908,-0.869924,0
0.050767,-0.035105,0.101636,0.899426,0.041738,-0.435076,-0.408069,-0.276389,-0.870108,0
0.050459,-0.03534,0.101523,0.899699,0.04204,-0.434482,-0.40767,-0.274877,-0.870774,0
0.05008,-0.035578,0.101284,0.90016,0.043742,-0.433358,-0.406863,-0.270723,-0.872451,0
0.04954,-0.03553,0.100848,0.901099,0.038702,-0.431883,-0.403386,-0.290545,-0.867677,0
0.049035,-0.035928,0.10008,0.902434,0.043577,-0.428618,-0.400883,-0.279486,-0.872456,0
0.048339,-0.036069,0.098921,0.905178,0.047274,-0.422395,-0.39616,-0.266193,-0.878748,0
0.047512,-0.03604,0.097435,0.908496,0.048797,-0.415036,-0.388862,-0.265008,-0.882359,0
0.046414,-0.03605,0.095539,0.912232,0.048463,-0.406797,-0.378432,-0.280647,-0.882058,0
0.045272,-0.036303,0.093159,0.916858,0.052452,-0.395752,-0.366277,-0.283765,-0.886182,0
0.044105,-0.0367,0.090513,0.921784,0.06034,-0.38298,-0.354446,-0.269128,-0.89551,0
0.042891,-0.037067,0.087644,0.92681,0.066335,-0.369626,-0.340642,-0.265805,-0.901837,0
0.041566,-0.037296,0.084706,0.931555,0.069433,-0.35691,-0.324903,-0.281706,-0.902818,0
0.04037,-0.037676,0.081734,0.936131,0.075867,-0.34337,-0.310524,-0.27989,-0.908425,0
0.039276,-0.03798,0.078865,0.940659,0.082597,-0.329148,-0.297611,-0.265264,-0.917095,0
0.038199,-0.037997,0.076444,0.943773,0.085465,-0.319357,-0.285942,-0.273802,-0.918297,0
0.037291,-0.037968,0.074384,0.946889,0.087937,-0.309302,-0.277149,-0.264584,-0.923679,0
0.036464,-0.037922,0.072869,0.948759,0.08944,-0.303079,-0.271186,-0.261902,-0.92621,0
0.035693,-0.037745,0.071876,0.949681,0.089154,-0.300264,-0.268121,-0.264175,-0.926457,0
0.035031,-0.037597,0.071166,0.950238,0.088883,-0.298577,-0.267466,-0.258618,-0.928213,0
0.034396,-0.037624,0.070648,0.950178,0.088493,-0.298883,-0.267475,-0.260894,-0.927573,0
0.033794,-0.037671,0.070186,0.95031,0.087339,-0.298801,-0.268564,-0.255379,-0.928792,0
0.033152,-0.038055,0.069571,0.950305,0.090146,-0.297982,-0.269994,-0.237885,-0.933013,0
0.032331,-0.03809,0.068819,0.95003,0.088362,-0.299391,-0.267984,-0.260996,-0.927397,0
0.031569,-0.038405,0.067753,0.950929,0.091205,-0.29566,-0.267778,-0.236132,-0.934097,0
0.030662,-0.038557,0.066586,0.951208,0.092209,-0.294451,-0.265025,-0.24452,-0.932723,0
0.029792,-0.03876,0.065174,0.952557,0.093719,-0.289571,-0.262591,-0.227979,-0.937588,0
0.028835,-0.038725,0.063837,0.953717,0.093577,-0.285776,-0.259008,-0.227186,-0.938776,0
0.027878,-0.038757,0.062395,0.955231,0.093979,-0.280538,-0.255215,-0.217914,-0.942008,0
0.026879,-0.03857,0.061177,0.956087,0.09224,-0.278189,-0.250449,-0.235867,-0.938958,0
0.026038,-0.038885,0.059948,0.957488,0.094122,-0.272684,-0.247707,-0.216193,-0.944406,0
0.02517,-0.039061,0.058989,0.958266,0.094035,-0.269969,-0.245009,-0.216427,-0.945055,0
0.024409,-0.040306,0.05792,0.959952,0.11203,-0.256792,-0.242323,-0.128017,-0.961713,0
0.023667,-0.040652,0.057242,0.960441,0.112608,-0.2547,-0.241166,-0.12102,-0.962909,0
0.022905,-0.041185,0.056667,0.960608,0.114962,-0.253014,-0.240053,-0.115475,-0.963867,0
0.022222,-0.04143,0.056284,0.961224,0.113951,-0.251125,-0.240277,-0.100833,-0.965453,0
0.021516,-0.041834,0.055991,0.961688,0.114681,-0.249006,-0.240519,-0.082909,-0.967097,0
0.020678,-0.041252,0.056067,0.960304,0.10005,-0.260397,-0.241972,-0.165716,-0.956027,0
0.020007,-0.041269,0.055939,0.960351,0.097908,-0.261035,-0.243344,-0.162527,-0.956226,0
0.019248,-0.041456,0.055766,0.960451,0.097723,-0.260738,-0.2438,-0.157251,-0.956992,0
0.018501,-0.041622,0.055618,0.960858,0.098038,-0.259113,-0.244409,-0.140406,-0.959453,0
0.017583,-0.041612,0.055568,0.960838,0.095745,-0.260044,-0.243629,-0.155279,-0.957357,0
0.016741,-0.041703,0.055396,0.96124,0.094377,-0.259056,-0.24297,-0.154147,-0.957708,0
0.015811,-0.042113,0.055286,0.961005,0.09572,-0.259435,-0.242975,-0.155659,-0.957462,0
0.014993,-0.042878,0.054913,0.962324,0.098378,-0.253483,-0.242161,-0.113864,-0.963532,0
0.014167,-0.043136,0.054481,0.962551,0.097807,-0.252844,-0.240397,-0.123196,-0.962825,0
0.013295,-0.043395,0.053937,0.96284,0.098307,-0.251546,-0.237534,-0.134973,-0.961956,0
0.012306,-0.043864,0.053385,0.963477,0.099735,-0.248527,-0.23525,-0.128188,-0.963445,0
0.011331,-0.044019,0.052922,0.96384,0.09875,-0.247509,-0.232807,-0.139905,-0.962407,0
0.010425,-0.044495,0.052443,0.964861,0.100115,-0.242939,-0.231508,-0.113418,-0.966199,0
0.009528,-0.044901,0.052083,0.965438,0.101251,-0.240162,-0.230528,-0.098179,-0.9681,0
0.00851,-0.045125,0.051825,0.965381,0.100511,-0.240701,-0.228568,-0.118664,-0.966269,0
0.007607,-0.045755,0.051447,0.965953,0.102726,-0.237448,-0.227947,-0.096177,-0.968912,0
0.006612,-0.046464,0.05094,0.966363,0.10462,-0.234941,-0.226614,-0.085575,-0.970218,0
0.005608,-0.047119,0.050277,0.966401,0.107135,-0.233647,-0.223017,-0.102467,-0.969414,0
0.004575,-0.048149,0.049273,0.967131,0.111676,-0.228444,-0.218717,-0.092882,-0.971358,0
0.003439,-0.048713,0.048044,0.967886,0.113569,-0.224272,-0.21277,-0.10504,-0.97144,0
