px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.007192,-0.034861,0.097843,0.967825,0.123484,0.219241,0.249224,-0.350357,-0.902849,0
0.007313,-0.034127,0.097392,0.969004,0.120778,0.21551,0.24471,-0.349554,-0.904394,0
0.007475,-0.033667,0.097083,0.967594,0.121611,0.221297,0.250441,-0.350197,-0.902575,0
0.007604,-0.033293,0.096319,0.973306,0.116082,0.197991,0.226433,-0.344864,-0.910932,0
0.007754,-0.032521,0.096014,0.974842,0.112133,0.192636,0.219984,-0.344782,-0.912542,0
0.007887,-0.032152,0.095446,0.979912,0.106607,0.168543,0.195257,-0.340922,-0.91959,0
0.007932,-0.031132,0.095189,0.97767,0.104974,0.182049,0.207422,-0.343006,-0.916146,0
0.007938,-0.030538,0.094591,0.976963,0.103629,0.186557,0.211085,-0.340644,-0.91619,0
0.007927,-0.029536,0.094044,0.975112,0.1006,0.197574,0.22033,-0.340411,-0.914098,0
0.008005,-0.029256,0.093495,0.976153,0.099056,0.193168,0.215603,-0.338565,-0.915909,0
0.00813,-0.029455,0.092884,0.980925,0.096641,0.168659,0.191601,-0.334377,-0.922757,0
0.00815,-0.028912,0.092364,0.978254,0.096907,0.183379,0.205543,-0.334587,-0.919676,0
0.008228,-0.028822,0.091825,0.977271,0.098094,0.187936,0.210207,-0.333452,-0.919033,0
0.008289,-0.028852,0.091297,0.978058,0.097976,0.183854,0.206268,-0.331542,-0.920616,0
0.008405,-0.029654,0.090954,0.985223,0.095761,0.142004,0.16587,-0.326815,-0.930419,0
0.008463,-0.029074,0.090241,0.983149,0.095617,0.155808,0.178835,-0.326325,-0.928186,0
0.008394,-0.028211,0.089728,0.972066,0.098136,0.213206,0.233904,-0.329982,-0.914549,0
0.008542,-0.028367,0.089057,0.982815,0.092925,0.159498,0.181292,-0.323231,-0.928792,0
0.008483,-0.027665,0.088395,0.979996,0.092112,0.176419,0.19697,-0.322075,-0.925997,0
0.008558,-0.027801,0.087682,0.983118,0.0905,0.159025,0.179844,-0.317878,-0.930919,0
0.008518,-0.027154,0.086932,0.981192,0.089958,0.170792,0.190827,-0.318589,-0.928486,0
0.00837,-0.026396,0.086114,0.969948,0.092585,0.225009,0.242964,-0.319055,-0.916064,0
0.008631,-0.027468,0.085378,0.986829,0.086575,0.136651,0.157076,-0.310864,-0.937385,0
0.008432,-0.026472,0.084477,0.980161,0.08802,0.177584,0.196345,-0.30888,-0.930613,0
0.008514,-0.026666,0.083839,0.983583,0.086474,0.15839,0.17754,-0.306495,-0.935169,0
0.008565,-0.026857,0.083228,0.986542,0.084505,0.139979,0.159255,-0.302589,-0.939722,0
0.008377,-0.025788,0.082667,0.972817,0.088949,0.21381,0.230975,-0.306278,-0.923496,0
0.008416,-0.025573,0.082233,0.973741,0.087423,0.210206,0.227057,-0.30574,-0.924645,0
0.008502,-0.025968,0.081733,0.984356,0.083477,0.15516,0.173233,-0.297877,-0.938754,0
0.008575,-0.02616,0.081362,0.987791,0.08061,0.133309,0.151384,-0.294697,-0.943524,0
0.008579,-0.026052,0.080977,0.987636,0.080606,0.134457,0.152442,-0.293737,-0.943653,0
0.008624,-0.025862,0.080704,0.987895,0.080264,0.132744,0.150741,-0.294747,-0.943611,0
0.008607,-0.025543,0.080246,0.987547,0.079247,0.13591,0.153357,-0.292064,-0.944023,0
0.008561,-0.025033,0.079992,0.985966,0.07998,0.146538,0.163829,-0.294781,-0.941416,0
0.008411,-0.024376,0.079605,0.976453,0.082698,0.199249,0.214999,-0.297108,-0.930324,0
0.008372,-0.024203,0.079243,0.976891,0.081961,0.1974,0.21299,-0.296042,-0.931125,0
0.0084,-0.024119,0.078942,0.985167,0.077605,0.15305,0.169276,-0.293193,-0.940948,0
0.008406,-0.024338,0.078619,0.987249,0.07706,0.139288,0.155883,-0.290754,-0.944014,0
0.008307,-0.023708,0.078328,0.984043,0.077566,0.160134,0.176005,-0.292288,-0.939995,0
0.008303,-0.024337,0.078047,0.992646,0.06821,0.100009,0.115464,-0.285306,-0.951456,0
0.008201,-0.02399,0.077681,0.98723,0.077403,0.139235,0.155777,-0.286185,-0.945427,0
