px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.012928,-0.052437,0.082116,0.975897,0.163835,0.144163,0.193183,-0.341256,-0.919905,0
0.012451,-0.053226,0.080715,0.972664,0.167039,0.161314,0.209857,-0.334877,-0.918595,0
0.012118,-0.054091,0.079317,0.973097,0.167835,0.157842,0.206006,-0.327042,-0.922282,0
0.011911,-0.055086,0.078348,0.972306,0.171703,0.158552,0.207691,-0.323722,-0.923076,0
0.01177,-0.055847,0.077561,0.970922,0.174666,0.163717,0.21328,-0.320497,-0.922926,0
0.011654,-0.05628,0.077069,0.969108,0.176068,0.172712,0.22205,-0.318072,-0.921696,0
0.011667,-0.05671,0.077034,0.969136,0.177448,0.171137,0.221048,-0.318131,-0.921917,0
0.011514,-0.056225,0.07701,0.965688,0.176838,0.190196,0.239249,-0.32088,-0.916404,0
0.011374,-0.055791,0.076754,0.964306,0.17474,0.198945,0.246813,-0.321061,-0.914332,0
0.01118,-0.05518,0.076278,0.964325,0.170645,0.202379,0.248445,-0.319477,-0.914445,0
0.01092,-0.054834,0.075543,0.963376,0.169409,0.207862,0.252667,-0.313862,-0.915232,0
0.010919,-0.054989,0.074913,0.975584,0.155375,0.155222,0.197193,-0.308515,-0.930555,0
0.010578,-0.054087,0.074227,0.972199,0.154083,0.176318,0.216791,-0.307712,-0.926453,0
0.010449,-0.054006,0.073835,0.971726,0.153177,0.17968,0.21951,-0.30579,-0.926449,0
0.010429,-0.054209,0.073621,0.971763,0.153256,0.179414,0.219211,-0.305001,-0.92678,0
0.010464,-0.054391,0.073534,0.971355,0.152886,0.181922,0.221389,-0.30402,-0.926584,0
0.010704,-0.055855,0.073418,0.977154,0.15398,0.146495,0.187389,-0.298969,-0.935683,0
0.010678,-0.056134,0.073431,0.971309,0.162583,0.173566,0.216576,-0.303191,-0.927993,0
0.010733,-0.056658,0.073089,0.972858,0.163314,0.163941,0.207256,-0.299836,-0.931205,0
0.010909,-0.057405,0.072343,0.974582,0.162575,0.15414,0.196735,-0.291939,-0.935984,0
0.010816,-0.057797,0.071811,0.970979,0.169925,0.168298,0.212761,-0.292328,-0.93235,0
0.010955,-0.058322,0.070845,0.980071,0.159478,0.118441,0.159798,-0.278736,-0.94698,0
0.010749,-0.057571,0.070336,0.968025,0.167118,0.187079,0.228822,-0.282649,-0.931531,0
0.010664,-0.057984,0.069804,0.971755,0.165605,0.168129,0.209507,-0.277467,-0.937613,0
0.010781,-0.057954,0.069378,0.974895,0.16317,0.15151,0.192153,-0.272713,-0.942712,0
0.010771,-0.057952,0.069277,0.976879,0.160425,0.141323,0.181226,-0.270659,-0.945463,0
0.010462,-0.057686,0.069409,0.970172,0.167185,0.175544,0.217143,-0.277393,-0.935896,0
0.010574,-0.057648,0.069378,0.970895,0.162479,0.175966,0.215611,-0.273037,-0.93753,0
0.010677,-0.057413,0.069457,0.972995,0.160926,0.165478,0.204958,-0.272589,-0.940046,0
0.010739,-0.057393,0.069748,0.97675,0.157857,0.145051,0.184222,-0.272012,-0.944495,0
0.010786,-0.057369,0.069999,0.975557,0.15912,0.151559,0.191107,-0.273871,-0.942588,0
0.010817,-0.057149,0.070319,0.976342,0.157343,0.148322,0.18761,-0.275355,-0.942859,0
0.010853,-0.05692,0.070565,0.976705,0.155928,0.147422,0.186462,-0.276695,-0.942694,0
0.010878,-0.056677,0.070718,0.97775,0.153729,0.14273,0.18131,-0.277099,-0.94358,0
0.010606,-0.056534,0.071059,0.970086,0.164191,0.178815,0.220211,-0.285133,-0.932848,0
0.010626,-0.056483,0.070977,0.971124,0.162777,0.17442,0.215438,-0.284233,-0.934237,0
0.010622,-0.056505,0.070754,0.971544,0.162563,0.172263,0.213184,-0.28322,-0.935061,0
0.010605,-0.056599,0.070393,0.971512,0.163215,0.171828,0.212805,-0.281716,-0.935601,0
0.010545,-0.056729,0.069806,0.970481,0.164672,0.176208,0.217214,-0.279298,-0.935313,0
0.010567,-0.0571,0.069191,0.972965,0.163907,0.162709,0.203464,-0.27497,-0.939677,0
0.010478,-0.056942,0.068638,0.969897,0.166186,0.177994,0.218857,-0.274374,-0.936387,0
0.010447,-0.056908,0.068113,0.969424,0.166803,0.179982,0.220778,-0.272707,-0.936423,0
0.010428,-0.0569,0.067584,0.969714,0.167143,0.178097,0.218833,-0.270705,-0.93746,0
0.010409,-0.056722,0.067256,0.969372,0.167057,0.18003,0.220622,-0.270233,-0.937177,0
0.010374,-0.056264,0.066991,0.97008,0.164102,0.178927,0.2186,-0.269718,-0.937799,0
0.010343,-0.055944,0.066769,0.970334,0.162884,0.178662,0.217935,-0.269365,-0.938055,0
0.010376,-0.055862,0.066617,0.974747,0.158931,0.156871,0.195427,-0.267199,-0.943617,0
0.010392,-0.055632,0.066407,0.973218,0.159782,0.165278,0.203895,-0.267893,-0.941626,0
0.010316,-0.055052,0.06624,0.970142,0.160337,0.181981,0.220438,-0.269968,-0.937296,0
0.010282,-0.054788,0.065995,0.969841,0.159628,0.184193,0.222377,-0.270126,-0.936793,0
0.010278,-0.05462,0.065749,0.970874,0.15788,0.180215,0.218061,-0.270652,-0.937655,0
0.010221,-0.054406,0.065388,0.970157,0.157938,0.183987,0.221676,-0.270213,-0.936934,0
0.010177,-0.054094,0.064887,0.971357,0.155711,0.179498,0.216458,-0.268165,-0.93874,0
0.010127,-0.053848,0.064449,0.971473,0.154927,0.179548,0.216147,-0.266948,-0.939159,0
0.010406,-0.053833,0.063704,0.977966,0.146298,0.148928,0.183037,-0.257802,-0.948702,0
0.010088,-0.053297,0.063492,0.971568,0.152361,0.181222,0.216693,-0.263856,-0.939906,0
