px,py,pz,v1x,v1y,v1z,v2x,v2y,v2z,hand
0.080673,-0.075849,0.11579,0.830043,0.089873,-0.550411,-0.482202,-0.380195,-0.789261,0
0.080647,-0.075701,0.115689,0.83045,0.089739,-0.549818,-0.481711,-0.380083,-0.789615,0
0.080532,-0.075423,0.11549,0.831576,0.092417,-0.547669,-0.481431,-0.371767,-0.793734,0
0.080474,-0.075262,0.115299,0.831983,0.090537,-0.547365,-0.480175,-0.376706,-0.792165,0
0.080361,-0.075017,0.115025,0.833003,0.091209,-0.545699,-0.479174,-0.374136,-0.793987,0
0.080246,-0.074838,0.114726,0.833922,0.091313,-0.544275,-0.477863,-0.373886,-0.794894,0
0.080151,-0.074716,0.114447,0.834686,0.092657,-0.542876,-0.476903,-0.371389,-0.796639,0
0.080047,-0.074467,0.114205,0.835494,0.092811,-0.541604,-0.476098,-0.369871,-0.797826,0
0.080005,-0.074237,0.114031,0.835965,0.091906,-0.541032,-0.475432,-0.371114,-0.797646,0
0.080144,-0.074033,0.113749,0.838262,0.108173,-0.534431,-0.481289,-0.313875,-0.818439,0
0.080152,-0.073745,0.11368,0.838573,0.10793,-0.533991,-0.481545,-0.311539,-0.819181,0
0.080172,-0.073503,0.113605,0.838749,0.107111,-0.53388,-0.481613,-0.311545,-0.819139,0
0.08018,-0.073411,0.113438,0.838882,0.106328,-0.533827,-0.48105,-0.314076,-0.818503,0
0.080152,-0.073549,0.113119,0.839136,0.107211,-0.533251,-0.479651,-0.316448,-0.81841,0
0.080108,-0.07384,0.11272,0.839182,0.109194,-0.532776,-0.478156,-0.318605,-0.818448,0
0.080029,-0.074186,0.112239,0.839464,0.113333,-0.531466,-0.476604,-0.316282,-0.820253,0
0.080113,-0.074865,0.111621,0.839971,0.126766,-0.527616,-0.476219,-0.293896,-0.828759,0
0.079914,-0.074858,0.11138,0.838443,0.119738,-0.531674,-0.473344,-0.323518,-0.819318,0
0.079854,-0.074416,0.111284,0.838141,0.109671,-0.534314,-0.4731,-0.341366,-0.812186,0
0.079816,-0.07398,0.111216,0.838507,0.110754,-0.533516,-0.474476,-0.333009,-0.814848,0
0.079849,-0.07358,0.111322,0.838153,0.109855,-0.534257,-0.476464,-0.329296,-0.815197,0
0.079867,-0.073283,0.111483,0.836861,0.101915,-0.537844,-0.476729,-0.34723,-0.807565,0
0.079926,-0.073204,0.111502,0.836243,0.101381,-0.538905,-0.47772,-0.347807,-0.80673,0
0.080109,-0.073638,0.111256,0.836009,0.11318,-0.536916,-0.479549,-0.324865,-0.815166,0
0.079999,-0.073532,0.111029,0.836043,0.11083,-0.537354,-0.478617,-0.331517,-0.813032,0
0.079721,-0.073212,0.110754,0.836275,0.102991,-0.53855,-0.47627,-0.350227,-0.806541,0
0.079517,-0.07306,0.110344,0.83714,0.104153,-0.536982,-0.47502,-0.348319,-0.808103,0
0.07945,-0.073359,0.109736,0.838349,0.123826,-0.530885,-0.47504,-0.311777,-0.822881,0
0.079389,-0.073172,0.10924,0.840762,0.130714,-0.525389,-0.475341,-0.286323,-0.831908,0
0.079216,-0.072787,0.108997,0.841566,0.130532,-0.524146,-0.474605,-0.284633,-0.832907,0
0.078947,-0.072287,0.10901,0.840435,0.11966,-0.528536,-0.471968,-0.317653,-0.822401,0
0.078663,-0.07147,0.109016,0.841744,0.114606,-0.527572,-0.47157,-0.31969,-0.82184,0
0.078647,-0.071176,0.109106,0.841709,0.113528,-0.527861,-0.472051,-0.319842,-0.821504,0
